log_id,recorded_at,category,action,result,evidence,commit,notes
LOG-082,2026-08-02T00:50:00+02:00,evaluation,Rejected a wider YAMNet-512 comparison after int8 quantization collapse,Float clip accuracy improved only 0.39 percentage points but independent int8 accuracy fell to 25.20 percent and the file grew from 184000 to 1846128 bytes,experiments/results/hazard5v3_yamnet512_development/summary.json,,The result provides a strong thesis accuracy-memory-quantization trade-off; YAMNet-1024 was not trained
LOG-083,2026-08-02T00:58:00+02:00,evaluation,Rejected the dog-and-glass six-output background model,Overall int8 accuracy was 78.88 percent and background recall 71.67 percent but dog-bark recall fell to 61.67 percent,experiments/results/hazard5v3r_bg2x_yamnet256_development/summary.json,,The board remained unchanged while a cascade was evaluated
LOG-084,2026-08-02T01:06:00+02:00,evaluation,Rejected standard and speech-heavy binary gates for the final taxonomy,At hazard-safe thresholds the gates rejected only 50.0 and 58.33 percent of held-out speech against a 95 percent target,experiments/results/hazard_gate_v3_yamnet256_development and hazard_gate_v3_speechheavy_yamnet256_development,,Neither gate was deployed
LOG-085,2026-08-02T01:12:00+02:00,evaluation,Rejected separate-speech and confidence-only rejection designs,A seven-output model recognized only 50 percent of speech while the unchanged closed model rejected 8.33 percent at a hazard-safe score-and-margin point,experiments/results/hazard5v3r_split_speech_yamnet256_development and hazard5v3_open_set_development,,Evidence shows highly confident speech-to-dog and speech-to-siren errors require live activity calibration or broader representation learning
LOG-086,2026-08-02T01:15:00+02:00,reporting,Created thesis-ready taxonomy trade-off artifacts,Recorded model accuracy versus size and hazard-recall versus speech-rejection comparisons in CSV and a two-panel figure,experiments/results/hazard_taxonomy_revision_20260802,,All plotted values are development results and external tests remain reserved
LOG-087,2026-08-02T01:17:00+02:00,implementation,Integrated final visible labels and live spectral-activity telemetry,Replaced screaming and chainsaw UI labels with glass breaking and dog bark and added spectrogram_sum to every AED UART record for hardware threshold calibration,Projects/Dpu/ai_model_config.h Projects/GS/Src/audio_display.c and Projects/GS/Src/audio_bm.c,,Five user-facing outputs remain and the dashboard architecture is unchanged
LOG-088,2026-08-02T01:19:00+02:00,deployment,Generated built signed flashed and verified the final-taxonomy development firmware,ST Edge AI produced 148417-byte Neural-ART weights; BM build had zero errors; signed payload matched at offset 0x400; weights and application passed read-back verification,experiments/results/hazard5v3_yamnet256_development/deployment_summary.json,,FSBL and OTP were untouched; software and hardware reset produced no UART because the physical boot selector still needs returning to run mode
LOG-089,2026-08-02T23:50:00+02:00,hardware evaluation,Diagnosed failure to recognize the user-selected gunshot playback,All three attempts passed the 3000 activity threshold but were confused mainly with dog bark and remained unknown below the 0.55 class threshold,experiments/results/hazard5v3_yamnet256_development/live_gunshot_diagnostic_20260802.json,,The fault is a playback-domain classification mismatch rather than insufficient microphone activity; lowering the activity threshold would not fix it
LOG-090,2026-08-06T12:42:31+02:00,implementation,Replaced the product-style dashboard with a basic presentation interface,Removed visible history counters severity badges and decorative elements while retaining the responsive result confidence top-three bars double buffering and telemetry,experiments/results/basic_ui_revision_20260806/build_summary.json,,BM build completed with zero errors; text fell by 3544 bytes and the aligned signed application was prepared but not flashed because the board was disconnected
LOG-091,2026-08-06T13:19:59+02:00,deployment,Flashed and verified the simplified-interface application,STM32CubeProgrammer wrote the 234080-byte signed application at 0x70100000 and passed full read-back verification,experiments/results/basic_ui_revision_20260806/build_summary.json,,Model weights FSBL and OTP were untouched; software and ST-LINK hardware reset produced no UART so physical run-mode selection and reset remain pending
LOG-092,2026-08-06T13:28:34+02:00,implementation,Revised the basic interface header and recent-results panel,Removed the monitoring badge and green dot; retained uptime; split the lower display between current top-three probabilities and three recent confirmed detections with confidence and timestamps,experiments/results/basic_ui_revision_20260806/revision_2.json,,BM build and aligned signing completed with zero errors; flash did not start because ST-LINK and COM3 disconnected so the board contents were unchanged
LOG-093,2026-08-06T13:41:20+02:00,deployment,Flashed and verified the uptime-and-history UI revision,STM32CubeProgrammer wrote the 234368-byte signed application at 0x70100000 and passed full read-back verification,experiments/results/basic_ui_revision_20260806/revision_2.json,,Model weights FSBL and OTP were untouched; software reset produced no UART so physical run-mode selection and reset remain pending
LOG-094,2026-08-06T13:49:08+02:00,deployment,Enlarged and flashed the uptime display,Changed the header uptime from 1x muted text to 2x white text; BM built with zero errors and the 234368-byte signed application passed read-back verification,experiments/results/basic_ui_revision_20260806/revision_3.json,,Only the application partition changed; model weights FSBL and OTP were untouched
LOG-095,2026-08-06T15:35:31+02:00,calibration,Reduced close-range false triggering with stricter activity and confidence gates,Raised spectral activity from 3000 to 4000 class entry from 0.55 to 0.65 and release from 0.40 to 0.50; uncertain audio now displays UNKNOWN instead of a class name,experiments/results/basic_ui_revision_20260806/revision_4_sensitivity.json,,BM built with zero errors and the signed application passed read-back verification; live observation remains required before accepting these as final thresholds
